county,recorded_sites
Montgomery,1265
Stewart,771
Shelby,764
Monroe,742
Davidson,690
Polk,644
Franklin,616
Roane,607
Maury,577
Hamilton,567
Hardin,565
Williamson,478
Fayette,453
Sullivan,448
Scott,433
Union,427
Fentress,419
Hawkins,384
Loudon,377
Humphreys,365
Grainger,364
Knox,358
Coffee,356
Benton,352
Decatur,341
Greene,340
Sumner,339
Rutherford,314
Rhea,311
Campbell,307
Claiborne,305
Meigs,300
Perry,280
Marion,269
Jackson,268
Blount,265
Pickett,262
Wilson,261
Carter,256
Madison,251
Anderson,250
Cocke,250
Marshall,233
Smith,231
Sevier,229
Henry,228
Bedford,227
Obion,225
Jefferson,216
Lauderdale,215
Hamblen,208
Bradley,205
Johnson,204
Cheatham,202
Lincoln,201
Hickman,199
Gibson,197
Overton,168
Haywood,167
Robertson,166
Morgan,164
Chester,164
Unicoi,159
McNairy,156
Putnam,155
Hardeman,151
VanBuren,150
White,147
Washington,146
Henderson,141
Carroll,137
Tipton,135
Wayne,131
Dekalb,125
Warren,122
Cannon,121
Lake,120
Grundy,117
Weakley,115
Dyer,112
Giles,111
Sequatchie,108
Dickson,106
Bledsoe,95
Trousdale,90
Houston,85
Clay,85
Cumberland,75
Lawrence,52
McMinn,51
Macon,44
Moore,43
Lewis,42
Crockett,27
Hancock,20
